sort_type,data_size,run_time
Insertion Sort,100,1654
Quick Sort,100,5337
Bucket Sort,1000,188137
Count Sort,1000,74827816
Insertion Sort,200,3533
Quick Sort,200,10324
Bucket Sort,2000,216912
Count Sort,2000,74903775
Insertion Sort,400,10166
Quick Sort,400,20899
Bucket Sort,4000,348679
Count Sort,4000,69706570
Insertion Sort,800,35504
Quick Sort,800,38791
Bucket Sort,8000,524633
Count Sort,8000,70097016
Insertion Sort,1600,132058
Quick Sort,1600,87441
Bucket Sort,16000,825820
Count Sort,16000,70177925
Insertion Sort,3200,497312
Quick Sort,3200,222679
Bucket Sort,32000,1398370
Count Sort,32000,69962737
Insertion Sort,6400,1968887
Quick Sort,6400,461604
Bucket Sort,64000,2731800
Count Sort,64000,70674854
Insertion Sort,12800,7930266
Quick Sort,12800,963575
Bucket Sort,128000,6400208
Count Sort,128000,92719187
